F,SBD,,49.9,51.9,86.18,36.29,83.91,206.38
M,B,33.0,73.2,75,,110.0,,110.0
M,B,26.0,65.1,67.5,,125.0,,125.0
F,SBD,,67.13,67.3,120.2,52.16,115.67,288.03
F,SBD,32.0,74.9,76,90.0,42.5,115.0,247.5
M,SBD,49.0,124.5,125,220.0,167.5,277.5,665.0
F,SBD,23.5,82.7,90,147.5,75.0,197.5,420.0
F,SBD,,47.81,47.8,104.33,52.16,113.4,269.89
M,SBD,22.5,73.8,74,230.0,140.0,260.0,630.0
M,BD,23.5,73.3,75,,130.0,190.0,320.0
M,S,,89.5,90,150.0,,,150.0
F,SBD,,55.43,56,111.13,49.9,136.08,297.1
F,B,19.0,49.16,50,,74.0,,74.0
F,SBD,,66.68,67.3,147.42,70.31,149.69,367.41
M,BD,15.5,65.6,67.5,,85.0,120.0,205.0
F,SBD,,58.06,60.1,79.38,38.56,117.93,235.87
F,B,38.5,71.2,72,,52.5,,52.5
F,SBD,19.5,61.3,63,97.5,50.0,102.5,250.0
M,SBD,18.0,97.4,100,230.0,110.0,230.0,570.0
F,SBD,,51.48,51.9,86.18,43.09,88.45,217.72
M,D,18.0,79.8,82.5,,,192.5,192.5
F,SBD,,97.16,100,86.18,49.9,108.86,244.94
F,B,20.5,79.41,84,,82.5,,82.5
F,SBD,,82.15,82.3,58.97,27.22,108.86,195.04
F,SBD,,95.29,84+,70.0,37.5,90.0,197.5
M,SBD,57.5,64.85,66,155.0,120.0,150.0,425.0
M,SBD,29.5,87.6,90,230.0,140.0,240.0,610.0
M,SBD,36.0,98.25,100,319.78,217.72,312.98,850.49
F,SBD,,80.29,82.3,149.69,86.18,149.69,385.55
M,SBD,,96.25,100,190.0,140.0,245.0,575.0
M,SBD,17.5,79.6,83,155.0,90.0,185.0,430.0
F,SBD,,78.74,82.3,154.22,106.59,129.27,390.09
M,B,,117.4,120,,162.5,,162.5
F,SBD,,54.7,56,120.2,54.43,131.54,306.17
M,B,54.5,123.7,120+,,135.0,,135.0
M,B,23.5,81.6,82.5,,130.0,,130.0
F,SBD,,50.7,52,105.0,62.5,142.5,310.0
F,SBD,,57.52,60.1,108.86,54.43,115.67,278.96
M,B,,141.1,125+,,80.0,,80.0
